作者规范,题目,text,best_similarity,六帖卷,六帖部类,六帖词条,六帖解析注文,注文计算策略
卢仝,自君之出矣,玉是君之德,0.830086,二,玉,玉德,子貢問於孔子曰：「敢問君子貴玉而賤碈者，何也？為玉之寡，而碈之多與？」孔子曰：「非為碈之多，故賤之也。玉之寡，故貴之也。夫昔者，君子比德於玉焉，溫潤而澤仁也。縝密以栗智也，廉而不劌義也，垂之如墜，禮也。叩之其聲清越，以長其終，詘然樂也，瑕不揜瑜，瑜不揜瑕，忠也。孚尹旁達，信也。氣如白虹，天也。精神見于山川，地也。圭璋時達，德也。天下莫不貴者，道也。故君子貴之也。」,weighted_channels
卢仝,杂曲歌辞。自君之出矣,玉是君之德,0.830086,二,玉,玉德,子貢問於孔子曰：「敢問君子貴玉而賤碈者，何也？為玉之寡，而碈之多與？」孔子曰：「非為碈之多，故賤之也。玉之寡，故貴之也。夫昔者，君子比德於玉焉，溫潤而澤仁也。縝密以栗智也，廉而不劌義也，垂之如墜，禮也。叩之其聲清越，以長其終，詘然樂也，瑕不揜瑜，瑜不揜瑕，忠也。孚尹旁達，信也。氣如白虹，天也。精神見于山川，地也。圭璋時達，德也。天下莫不貴者，道也。故君子貴之也。」,weighted_channels
皎然,因游支硎寺寄邢端公,诗题白羽扇,0.829892,四,扇,白羽扇,裴啟《語林》曰：「諸葛武侯，持白羽扇，指麾三軍。,weighted_channels_with_book_title_stats
贾岛,送僧,日午游都市,0.829886,二十四,商賈,日游都市,,weighted_channels_untyped_fallback
张九龄,登荆州城楼,来参竹使符,0.829882,四,印綬,竹使符,竹符五枚，長五寸。錐畫篆書，一至五，以代古之珪璋。,weighted_channels
成真人,题壁,本拟白日升天,0.829405,二十六,仙,白日升天,,weighted_channels_untyped_fallback
卢仝,萧宅二三子赠答诗二十首。客谢井,改邑不改井,0.82912,三,井,改井,《易》：改邑不改井。,weighted_channels_with_book_title_stats
顾云,天威行,耿恭拜出井底水,0.828477,八 （凡七十九門 內二十六門附）,信,耿恭拜井,《後漢》：耿恭，字伯宗。守疎勒城，城中無水，穿井十丈，無水，恭整衣冠，拜井，泉涌出。,weighted_channels_with_book_title_stats
白居易,和答诗十首。和阳城驿,往者不可追,0.828468,二十八,悔恨,往者不可諫,,weighted_channels_untyped_fallback
王翰,赋得明星玉女坛，送廉察尉华阴,发地削成五千仞,0.828108,二,華山,削成五千仞,《山海經》：「華山削成而四方，高五千仞，其廣千里。」,weighted_channels_with_book_title_stats
高適,同群公题郑少府田家（此公昔任白马尉，今寄住滑台）,昔为南昌尉,0.827856,二十六,吏隱,南昌尉,梅福子真為南昌尉，時人謂之神仙之吏。,weighted_channels
窦牟,送刘公达判官赴天德军幕,特建青油幕,0.827767,二十一,幕府,青油幕,,weighted_channels_untyped_fallback
孟浩然,送洗然弟进士举,以吾一日长,0.827759,二十一,爭長,一日,子曰：以吾一日長乎爾？,weighted_channels
白居易,长斋月满寄思黯,一日不见如三月,0.827696,十,相思,一日不見。,如三月兮，如三秋兮。,headword_note_combined
白居易,读史五首,鬼得而诛之,0.82728,二十七,報怨,鬼誅,鬼得而誅。,headword_note_combined
白居易,醉后走笔酬刘五主簿长句之赠兼简张大贾二十四先辈昆季,三年不鸣鸣必大,0.827014,二十九,鳥,三年不鳴,齊威王曰：「有大鳥止于王庭，三年不飛，飛則沖天；三年不鳴，鳴則驚人。,weighted_channels
杜牧,雪中书怀,如日月縆升,0.826663,一,日,如日之升,,weighted_channels_untyped_fallback
李白,赠从弟南平太守之遥二首,梦得池塘生春草,0.826599,三十,草,池塘生春草,,weighted_channels_untyped_fallback
李白,见野草中有曰白头翁者,亦有白头翁,0.826365,七,戲謔,白頭翁,吳諸葛恪侍權坐，有白頭烏集殿前。恪曰：白頭翁。張昭年老，疑恪戱之。因曰：「恪欺陛下，未有鳥名，白頭翁。請覔白頭母。」恪曰：「鳥有鸎母，請覔鸎父。」相弄謔如此。有司俱不罪。張昭有悟於聴聞。,weighted_channels
乔知之,长信宫中树,香摇五明扇,0.825738,四,扇,五明扇,崔豹《古今注》曰：「舜廣視聽求賢人，以自輔作五明扇。,weighted_channels_with_book_title_stats
佚名,郊庙歌辞。后唐宗庙乐舞辞。雍熙舞,百度惟贞,0.825569,十一,帝德,百度惟貞。,,weighted_channels_untyped_fallback
白居易,酬赵秀才赠新登科诸先辈,君看名在丹台者,0.82539,二十六,道士,名在丹臺,紫陽真人，周季通入蒙山，遇羨門子。再拜乞長生訣，羨門子曰：「名在丹臺、玉室中，何憂不仙？,weighted_channels
储光羲,过新丰道中,雷雨杳冥冥,0.824909,一,雷,雷雨晦冥,《漢書》：劉媼息大澤中，夢與神遇，是時，雷雨晦冥。太公往視之，則見蛟龍在上。已而，有娠，而產高祖。,weighted_channels_with_book_title_stats
顾况,上古之什补亡训传十三章。十月之郊一章,梦人占之,0.824515,七,夢,夢中占夢,《莊子》：長吾子謂瞿鵲曰：夢飲酒者，旦而哭泣，夢哭泣者，旦而田獵，方其夢也。不知其夢中之占又夢焉。無異寤也。固乃非常人之所知。,weighted_channels_with_book_title_stats
崔道融,春晚,三月寒食时,0.824139,一,寒食,一月寒食,《後漢》周舉遷并州刺史，太原舊俗，以介子推焚骸一月，斷火舉移書於子推廟。云寒食一月，老小不堪，今則三日而巳。,weighted_channels_cross_reference
王绩,在京思故园见乡人问,老去不知回,0.823531,十七,老,不知老之將至,,weighted_channels_untyped_fallback
刘禹锡,酬喜相遇同州与乐天替代,新交竹使符,0.823516,四,印綬,竹使符,竹符五枚，長五寸。錐畫篆書，一至五，以代古之珪璋。,weighted_channels
佚名,郊庙歌辞。祀九宫贵神乐章。肃和,穆穆皇皇,0.822856,九,言語,穆穆皇皇,言語之美。,weighted_channels
杨衡,赋得夜雨滴空阶送魏秀才,况有人如玉,0.822758,六,美人,如玉,有佳人，美者顔如玉,weighted_channels_cross_reference
张谓,同孙构免官后登蓟楼,功成不相让,0.822471,十四,讓功,功成不居,,weighted_channels_untyped_fallback
杜甫,佳人,绝代有佳人,0.822086,七,美婦人,絶代,李延年歌曰：北方有佳人，絶代而獨立。一顧傾人城，再顧傾人國。,weighted_channels
